Timestamp,mavpackettype,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U,Timestamp_converted,FullTime
1738835072.000082,GPS,18398575,0,3,380690000,2352,27,0.49,42.1346662,12.6307281,25.29,0.06700000166893,0.0,0.1390000134706497,0.0,1,2025-02-06 09:44:32.000082016,2025-02-06 09:44:50.398657016
1738835072.200039,GPS,18598532,0,3,380690200,2352,27,0.49,42.1346662,12.630728,25.29,0.055000003427267,0.0,-0.0440000034868717,0.0,1,2025-02-06 09:44:32.200038910,2025-02-06 09:44:50.798570910
1738835072.3998408,GPS,18798334,0,3,380690400,2352,27,0.49,42.1346663,12.6307279,25.28,0.0659999996423721,0.0,0.0280000008642673,0.0,1,2025-02-06 09:44:32.399840832,2025-02-06 09:44:51.198174832
1738835072.580494,GPS,18978987,0,3,380690600,2352,27,0.49,42.1346663,12.6307279,25.3,0.06700000166893,0.0,0.0760000050067901,0.0,1,2025-02-06 09:44:32.580493927,2025-02-06 09:44:51.559480927
1738835072.799993,GPS,19198486,0,3,380690800,2352,27,0.49,42.1346663,12.6307277,25.31,0.0370000004768371,0.0,0.0590000040829181,0.0,1,2025-02-06 09:44:32.799993038,2025-02-06 09:44:51.998479038
1738835073.000064,GPS,19398557,0,3,380691000,2352,27,0.49,42.1346661,12.6307275,25.31,0.1160000041127204,0.0,0.0760000050067901,0.0,1,2025-02-06 09:44:33.000063896,2025-02-06 09:44:52.398620896
1738835073.199956,GPS,19598449,0,3,380691200,2352,27,0.49,42.134666,12.6307274,25.3,0.021000001579523,0.0,0.0270000007003545,0.0,1,2025-02-06 09:44:33.199955940,2025-02-06 09:44:52.798404940
1738835073.4000309,GPS,19798524,0,3,380691400,2352,27,0.49,42.134666,12.6307272,25.29,0.0310000013560056,0.0,-0.0100000007078051,0.0,1,2025-02-06 09:44:33.400030851,2025-02-06 09:44:53.198554851
1738835073.580466,GPS,19978959,0,3,380691600,2352,27,0.49,42.134666,12.630727,25.3,0.0440000034868717,0.0,0.032999999821186,0.0,1,2025-02-06 09:44:33.580466032,2025-02-06 09:44:53.559425032
1738835073.7805889,GPS,20179082,0,3,380691800,2352,27,0.49,42.134666,12.6307266,25.34,0.0700000002980232,0.0,0.0190000012516975,0.0,1,2025-02-06 09:44:33.780588865,2025-02-06 09:44:53.959670865
1738835074.000149,GPS,20398642,0,3,380692000,2352,27,0.49,42.134666,12.6307265,25.31,0.0620000027120113,0.0,0.0200000014156103,0.0,1,2025-02-06 09:44:34.000149012,2025-02-06 09:44:54.398791012
1738835074.199995,GPS,20598488,0,3,380692200,2352,27,0.49,42.134666,12.6307266,25.29,0.0680000036954879,0.0,0.0360000021755695,0.0,1,2025-02-06 09:44:34.199995041,2025-02-06 09:44:54.798483041
1738835074.380578,GPS,20779071,0,3,380692400,2352,27,0.49,42.1346661,12.6307266,25.28,0.0400000028312206,0.0,0.0370000004768371,0.0,1,2025-02-06 09:44:34.380578041,2025-02-06 09:44:55.159649041
1738835074.600006,GPS,20998499,0,3,380692600,2352,27,0.49,42.1346661,12.6307264,25.26,0.0410000011324882,0.0,0.1030000075697898,0.0,1,2025-02-06 09:44:34.600006104,2025-02-06 09:44:55.598505104
1738835074.780602,GPS,21179095,0,3,380692800,2352,27,0.49,42.1346662,12.6307263,25.24,0.0590000040829181,0.0,0.025000000372529,0.0,1,2025-02-06 09:44:34.780601978,2025-02-06 09:44:55.959696978
1738835075.000066,GPS,21398559,0,3,380693000,2352,27,0.49,42.1346662,12.630726,25.27,0.0350000001490116,0.0,0.0830000042915344,0.0,1,2025-02-06 09:44:35.000066042,2025-02-06 09:44:56.398625042
1738835075.19999,GPS,21598483,0,3,380693200,2352,27,0.49,42.1346662,12.6307259,25.26,0.050000000745058,0.0,0.0640000030398368,0.0,1,2025-02-06 09:44:35.199990034,2025-02-06 09:44:56.798473034
1738835075.3999789,GPS,21798472,0,3,380693400,2352,27,0.49,42.1346662,12.6307259,25.25,0.0320000015199184,0.0,0.0110000008717179,0.0,1,2025-02-06 09:44:35.399978876,2025-02-06 09:44:57.198450876
1738835075.60008,GPS,21998573,0,3,380693600,2352,27,0.49,42.1346662,12.6307258,25.24,0.050000000745058,0.0,0.003000000026077,0.0,1,2025-02-06 09:44:35.600080013,2025-02-06 09:44:57.598653013
1738835075.800175,GPS,22198668,0,3,380693800,2352,27,0.49,42.1346662,12.6307258,25.24,0.0740000009536743,0.0,0.0270000007003545,0.0,1,2025-02-06 09:44:35.800174952,2025-02-06 09:44:57.998842952
1738835076.000072,GPS,22398565,0,3,380694000,2352,27,0.49,42.1346662,12.6307259,25.23,0.0430000014603138,0.0,0.0410000011324882,0.0,1,2025-02-06 09:44:36.000072002,2025-02-06 09:44:58.398637002
1738835076.180492,GPS,22578985,0,3,380694200,2352,27,0.49,42.1346662,12.6307258,25.22,0.0340000018477439,0.0,-0.0020000000949949,0.0,1,2025-02-06 09:44:36.180491924,2025-02-06 09:44:58.759476924
1738835076.399996,GPS,22798489,0,3,380694400,2352,27,0.49,42.1346662,12.6307258,25.22,0.0700000002980232,0.0,0.0410000011324882,0.0,1,2025-02-06 09:44:36.399996042,2025-02-06 09:44:59.198485042
1738835076.599942,GPS,22998435,0,3,380694600,2352,27,0.49,42.1346662,12.6307259,25.21,0.0520000010728836,0.0,0.0130000002682209,0.0,1,2025-02-06 09:44:36.599941969,2025-02-06 09:44:59.598376969
1738835076.780568,GPS,23179061,0,3,380694800,2352,27,0.49,42.1346662,12.6307259,25.23,0.077000007033348,0.0,0.0260000005364418,0.0,1,2025-02-06 09:44:36.780567884,2025-02-06 09:44:59.959628884
1738835077.000021,GPS,23398514,0,3,380695000,2352,27,0.49,42.1346662,12.6307259,25.21,0.0700000002980232,0.0,0.0870000049471855,0.0,1,2025-02-06 09:44:37.000020981,2025-02-06 09:45:00.398534981
1738835077.19993,GPS,23598423,0,3,380695200,2352,27,0.49,42.1346662,12.6307257,25.19,0.021000001579523,0.0,0.0790000036358833,0.0,1,2025-02-06 09:44:37.199929953,2025-02-06 09:45:00.798352953
1738835077.400049,GPS,23798542,0,3,380695400,2352,27,0.49,42.1346662,12.6307257,25.2,0.1130000054836273,0.0,-0.0130000002682209,0.0,1,2025-02-06 09:44:37.400048971,2025-02-06 09:45:01.198590971
1738835077.600101,GPS,23998594,0,3,380695600,2352,27,0.49,42.1346663,12.6307258,25.19,0.0420000031590461,0.0,0.0310000013560056,0.0,1,2025-02-06 09:44:37.600100994,2025-02-06 09:45:01.598694994
1738835077.7806408,GPS,24179134,0,3,380695800,2352,27,0.49,42.1346662,12.6307258,25.2,0.1130000054836273,0.0,0.1050000041723251,0.0,1,2025-02-06 09:44:37.780640841,2025-02-06 09:45:01.959774841
1738835077.999995,GPS,24398488,0,3,380696000,2352,27,0.49,42.1346662,12.6307258,25.21,0.0610000044107437,0.0,0.0970000028610229,0.0,1,2025-02-06 09:44:37.999994993,2025-02-06 09:45:02.398482993
1738835078.200001,GPS,24598494,0,3,380696200,2352,27,0.49,42.1346662,12.6307258,25.22,0.0480000004172325,0.0,-0.0580000020563602,0.0,1,2025-02-06 09:44:38.200001001,2025-02-06 09:45:02.798495001
1738835078.39996,GPS,24798453,0,3,380696400,2352,27,0.49,42.1346663,12.6307257,25.24,0.0300000011920928,0.0,0.0540000014007091,0.0,1,2025-02-06 09:44:38.399960041,2025-02-06 09:45:03.198413041
1738835078.600026,GPS,24998519,0,3,380696600,2352,27,0.49,42.1346662,12.6307258,25.25,0.1000000014901161,0.0,-0.1220000088214874,0.0,1,2025-02-06 09:44:38.600025892,2025-02-06 09:45:03.598544892
1738835078.800001,GPS,25198494,0,3,380696800,2352,27,0.49,42.1346662,12.6307256,25.26,0.0780000016093254,0.0,0.0610000044107437,0.0,1,2025-02-06 09:44:38.800000906,2025-02-06 09:45:03.998494906
1738835079.000069,GPS,25398562,0,3,380697000,2352,27,0.49,42.1346663,12.6307253,25.27,0.0150000005960464,0.0,0.0520000010728836,0.0,1,2025-02-06 09:44:39.000068903,2025-02-06 09:45:04.398630903
1738835079.200049,GPS,25598542,0,3,380697200,2352,27,0.49,42.1346663,12.6307252,25.28,0.0700000002980232,0.0,-0.0430000014603138,0.0,1,2025-02-06 09:44:39.200048923,2025-02-06 09:45:04.798590923
1738835079.400133,GPS,25798626,0,3,380697400,2352,27,0.49,42.1346663,12.6307253,25.28,0.0540000014007091,0.0,-0.0450000017881393,0.0,1,2025-02-06 09:44:39.400132895,2025-02-06 09:45:05.198758895
